director_name,duration,genres,movie_title,language,budget,imdb_score
Rob Cohen,106.0,Action|Crime|Thriller,The Fast and the Furious ,English,38000000.0,6.7
,60.0,Action|Crime|Drama|Mystery|Thriller,Miami Vice             ,English,1500000.0,7.5
Paul Verhoeven,113.0,Action|Sci-Fi,Total Recall ,English,65000000.0,7.5
John McTiernan,102.0,Action|Adventure|History,The 13th Warrior ,English,85000000.0,6.6
Frédéric Forestier,116.0,Adventure|Comedy|Family|Fantasy,Asterix at the Olympic Games ,French,78000000.0,5.1
Peter Chelsom,104.0,Comedy|Romance,Town & Country ,English,90000000.0,4.4
Dominic Sena,127.0,Action|Crime|Thriller,Gone in Sixty Seconds ,English,90000000.0,6.5
Simon West,103.0,Action|Adventure|Thriller,The Expendables 2 ,English,92000000.0,6.7
Peter Hyams,121.0,Action|Fantasy|Horror|Mystery,End of Days ,English,83000000.0,5.7
Zack Snyder,101.0,Action|Adventure|Animation|Family|Fantasy,Legend of the Guardians: The Owls of Ga'Hoole ,English,80000000.0,7.0
Patrick Hughes,131.0,Action|Adventure|Thriller,The Expendables 3 ,English,90000000.0,6.1
David Mamet,110.0,Drama|Mystery|Thriller,The Spanish Prisoner ,English,10000000.0,7.3
Frank Oz,93.0,Comedy|Sci-Fi|Thriller,The Stepford Wives ,English,90000000.0,5.2
Ridley Scott,152.0,Drama|History|War,Black Hawk Down ,English,92000000.0,7.7
Luc Besson,126.0,Action|Adventure|Sci-Fi,The Fifth Element ,English,93000000.0,7.7
Peter Jackson,135.0,Drama|Fantasy|Thriller,The Lovely Bones ,English,65000000.0,6.7
Joe Johnston,92.0,Action|Adventure|Sci-Fi|Thriller,Jurassic Park III ,English,93000000.0,5.9
Rupert Wyatt,105.0,Action|Drama|Sci-Fi|Thriller,Rise of the Planet of the Apes ,English,93000000.0,7.6
Mark Waters,107.0,Adventure|Family|Fantasy,The Spiderwick Chronicles ,English,90000000.0,6.6
John Moore,101.0,Action|Thriller,A Good Day to Die Hard ,English,92000000.0,5.3
Brad Bird,115.0,Action|Adventure|Animation|Family,The Incredibles ,English,92000000.0,8.0
Barry Sonnenfeld,98.0,Adventure|Comedy|Family|Mystery|Sci-Fi,Men in Black ,English,90000000.0,7.3
John Lasseter,82.0,Adventure|Animation|Comedy|Family|Fantasy,Toy Story 2 ,English,90000000.0,7.9
Brett Ratner,90.0,Action|Comedy|Crime|Thriller,Rush Hour 2 ,English,90000000.0,6.6
Carlos Saldanha,94.0,Action|Adventure|Animation|Comedy|Family,Ice Age: Dawn of the Dinosaurs ,English,90000000.0,7.0
Ben Stiller,114.0,Adventure|Comedy|Drama|Fantasy|Romance,The Secret Life of Walter Mitty ,English,90000000.0,7.3
McG,94.0,Action|Adventure|Comedy|Crime|Thriller,Charlie's Angels ,English,92000000.0,5.5
Martin Scorsese,151.0,Crime|Drama|Thriller,The Departed ,English,90000000.0,8.5
Tony Bancroft,88.0,Adventure|Animation|Family|Fantasy|Musical|War,Mulan ,English,90000000.0,7.5
Ben Stiller,121.0,Action|Comedy,Tropic Thunder ,English,92000000.0,7.0
John McTiernan,128.0,Action|Adventure|Thriller,Die Hard with a Vengeance ,English,90000000.0,7.6
Guy Ritchie,128.0,Action|Adventure|Crime|Mystery|Thriller,Sherlock Holmes ,English,90000000.0,7.6
Walt Becker,92.0,Adventure|Animation|Comedy|Family|Fantasy|Music,Alvin and the Chipmunks: The Road Chip ,English,90000000.0,5.0
Bryan Singer,121.0,Drama|History|Thriller|War,Valkyrie ,English,75000000.0,7.1
Dennis Dugan,113.0,Action|Comedy,You Don't Mess with the Zohan ,English,90000000.0,5.5
Chris Columbus,106.0,Action|Animation|Comedy|Sci-Fi,Pixels ,English,88000000.0,5.6
Rob Minkoff,88.0,Comedy|Family|Fantasy|Horror|Mystery,The Haunted Mansion ,English,90000000.0,4.9
Robert Zemeckis,150.0,Drama|Mystery|Sci-Fi|Thriller,Contact ,English,90000000.0,7.4
Sydney Pollack,128.0,Crime|Mystery|Thriller,The Interpreter ,Aboriginal,80000000.0,6.4
Thor Freudenthal,106.0,Adventure|Family|Fantasy,Percy Jackson: Sea of Monsters ,English,90000000.0,5.9
Jon M. Chu,129.0,Action|Adventure|Comedy|Crime|Mystery|Thriller,Now You See Me 2 ,English,90000000.0,6.9
Phillip Noyce,116.0,Action|Adventure|Romance|Sci-Fi|Thriller,The Saint ,English,68000000.0,6.2
Tony Scott,114.0,Action|Crime|Thriller,Spy Game ,English,92000000.0,7.0
Brian De Palma,114.0,Adventure|Sci-Fi|Thriller,Mission to Mars ,English,90000000.0,5.6
Carlos Saldanha,96.0,Adventure|Animation|Comedy|Family|Musical,Rio ,English,90000000.0,7.0
Mick Jackson,104.0,Action|Drama|Sci-Fi|Thriller,Volcano ,English,90000000.0,5.4
Alan J. Pakula,111.0,Action|Crime|Drama|Thriller,The Devil's Own ,English,86000000.0,6.1
John Milius,129.0,Adventure|Fantasy,Conan the Barbarian ,English,20000000.0,6.9
Ron Howard,144.0,Biography|Drama|Sport,Cinderella Man ,English,88000000.0,8.0
Andrey Konchalovskiy,110.0,Action|Family|Fantasy|Musical,The Nutcracker in 3D ,English,90000000.0,4.4
Gary Ross,140.0,Drama|History|Sport,Seabiscuit ,English,87000000.0,7.3
Jan de Bont,113.0,Action|Adventure|Drama|Thriller,Twister ,English,92000000.0,6.3
Rob Cohen,106.0,Action|Crime|Thriller,The Fast and the Furious ,English,38000000.0,6.7
Robert Zemeckis,143.0,Adventure|Drama|Romance,Cast Away ,English,90000000.0,7.7
Paul Greengrass,108.0,Action|Mystery|Thriller,The Bourne Supremacy ,English,75000000.0,7.8
Wolfgang Petersen,124.0,Action|Adventure|Drama|Thriller,Air Force One ,English,85000000.0,6.4
Steven Soderbergh,116.0,Crime|Thriller,Ocean's Eleven ,English,85000000.0,7.8
Paul W.S. Anderson,110.0,Action|Adventure|Romance,The Three Musketeers ,English,75000000.0,5.8
Genndy Tartakovsky,91.0,Animation|Comedy|Family|Fantasy,Hotel Transylvania ,English,85000000.0,7.1
Kevin Lima,107.0,Animation|Comedy|Family|Fantasy|Musical|Romance,Enchanted ,English,85000000.0,7.1
Daniel Espinosa,115.0,Action|Crime|Mystery|Thriller,Safe House ,English,85000000.0,6.8
Kevin Lima,100.0,Adventure|Comedy|Family,102 Dalmatians ,English,85000000.0,4.8
Brett Ratner,104.0,Action|Comedy|Crime,Tower Heist ,English,75000000.0,6.2
Nancy Meyers,138.0,Comedy|Romance,The Holiday ,English,85000000.0,6.9
Tony Scott,140.0,Action|Crime|Drama|Mystery|Thriller,Enemy of the State ,English,90000000.0,7.3
Nancy Meyers,120.0,Comedy|Drama|Romance,It's Complicated ,English,85000000.0,6.6
Steven Soderbergh,122.0,Crime|Thriller,Ocean's Thirteen ,English,85000000.0,6.9
Roger Allers,83.0,Adventure|Animation|Comedy|Family,Open Season ,English,85000000.0,6.2
Neil Burger,139.0,Adventure|Mystery|Sci-Fi,Divergent ,English,85000000.0,6.7
Jean-Jacques Annaud,131.0,Drama|History|War,Enemy at the Gates ,English,68000000.0,7.6
Peter Berg,104.0,Action|Adventure|Comedy|Thriller,The Rundown ,English,85000000.0,6.7
John McTiernan,130.0,Action|Adventure|Comedy|Fantasy,Last Action Hero ,English,70000000.0,6.2
Rob Marshall,145.0,Drama|Romance,Memoirs of a Geisha ,English,85000000.0,7.3
Justin Lin,104.0,Action|Crime|Thriller,The Fast and the Furious: Tokyo Drift ,English,85000000.0,6.0
Andrew Davis,108.0,Action|Drama|Thriller,Collateral Damage ,English,85000000.0,5.5
